Id,Kanji,Han-Viet Pronunciation,Kun,On,Meaning,Word 1,Word 2,Word 3,MemoryTip,StrokeCount,Level,Image,Bộ thủ chính
,女,Nữ,"おんな, め","ジョ, ニョ",Phụ nữ,女の子【おんなのこ】bé gái,女性【じょせい】phụ nữ,女の人【おんなのひと】người phụ nữ,Em nhỏ lớn lên thành phụ nữ,3,N5,,女
,好,Hảo,"す.き, この.む",コウ,Thích,好き【すき】thích thú,大好き【だいすき】rất thích,好物【こうぶつ】món ăn yêu thích,Đàn ông thích (好) phụ nữ (女) và trẻ con (子),6,N5,,女
,安,An,やす.い,アン,"Rẻ, an toàn",安い【やすい】giá rẻ,安心【あんしん】an tâm,安全【あんぜん】an toàn,Dưới mái nhà (宀) phụ nữ (女) sẽ được an toàn (安),6,N5,,宀
,町,Đinh,まち,チョウ,Thị trấn,町【まち】thị trấn,町長【ちょうちょう】thị trưởng,下町【したまち】khu phố cổ,Ra ruộng (田) dẫm phải đinh (丁) lên thị trấn (町) chữa trị,7,N5,,町
,東,Đông,ひがし,トウ,Phía Đông,東【ひがし】phía đông,東口【ひがしぐち】cửa đông,東京【とうきょう】Tokyo,Mặt trời (日) lấp ló sau cây (木) ở phía đông (東),8,N5,,木
,高,Cao,たか.い,コウ,"Cao, đắt","高い【たかい】cao, đắt đỏ",高校【こうこう】trường cấp 3,最高【さいこう】tuyệt vời nhất,Lúc đầu to mồm nhưng bị bắn qua biên giới thì mồm không cao ngạo được nữa,10,N5,,高
,山,Sơn,やま,サン,Núi,山【やま】núi,富士山【ふじさん】núi Phú Sĩ,山林【さんりん】sơn lâm,3 cây chụm lại nên hòn núi cao,3,N5,,山
,足,Túc,"あし, た.る",ソク,"Chân, đủ","足【あし】bàn chân, chân",足りる【たりる】đầy đủ,遠足【えんそく】dã ngoại,Chân đá tung mồm hạ nhân,7,N5,,足
,南,Nam,みなみ,ナン,Phía Nam,南【みなみ】phía nam,南口【みなみぐち】cửa nam,東南【とうなん】đông nam,Ở phía Nam có 10 người ra biên giới nhặt tiền Yên,9,N5,,十
,飲,Ẩm,の.む,イン,Uống,飲む【のむ】uống,飲み物【のみもの】đồ uống,飲食店【いんしょくてん】nhà hàng ăn uống,Ăn thì không thể thiếu uống,12,N5,,食
,田,Điền,た,デン,Ruộng,田んぼ【たんぼ】ruộng lúa,山田【やまだ】Yamada,水田【すいでん】ruộng nước,Hình ruộng lúa,5,N5,,田
,畑,Vườn,"はた, はたけ",(không có),Ruộng hoa màu,畑【はたけ】ruộng hoa màu,田畑【たはた】ruộng nương,花畑【はなばたけ】cánh đồng hoa,Đốt (火) ruộng (田) làm vườn (畑),9,N5,,火
,物,Vật,もの,"ブツ, モツ",Đồ vật,買い物【かいもの】mua sắm,食べ物【たべもの】thức ăn,荷物【にもつ】hành lý,Bò (牛) + vật (勿) = Động vật (物),8,N5,,物
,茶,Trà,(không có),"チャ, サ",Trà,お茶【おちゃ】trà nước,紅茶【こうちゃ】hồng trà,喫茶店【きっさてん】quán cà phê,Cô giáo Thảo là người cười hô hô khi uống trà,9,N5,,艹
,行,Hành,"い.く, おこな.う","コウ, ギョウ",Đi,行く【いく】đi,銀行【ぎんこう】ngân hàng,旅行【りょこう】du lịch,2 người bị dẫm vào 1 cái đinh khi đi bộ hành,6,N5,,行
,川,Xuyên,かわ,セン,Sông,川【かわ】dòng sông,小川【おがわ】suối nhỏ,川上【かわかみ】thượng nguồn,Hình dòng sông,3,N5,,川
,耳,Nhĩ,みみ,ジ,Cái tai,耳【みみ】cái tai,初耳【はつみみ】lần đầu nghe,耳鼻科【じびか】khoa tai mũi họng,Tai gắn giống mắt,6,N5,,耳
,男,Nam,おとこ,ダン,Đàn ông,男【おとこ】đàn ông,男の子【おとこのこ】bé trai,男性【だんせい】nam giới,Làm ruộng phải có sức lực của đàn ông,7,N5,,田
,先,Tiên,さき,セン,"Trước, tiên",先生【せんせい】thầy cô giáo,先月【せんげつ】tháng trước,先週【せんしゅう】tuần trước,Tài phiệt bán đất tháo chạy trước biến động thị trường,6,N5,,儿
,長,Trường,なが.い,チョウ,Dài,長い【ながい】dài lâu,社長【しゃちょう】giám đốc,校長【こうちょう】hiệu trưởng,Em mặc y phục dài,8,N5,,長
,鳥,Điểu,とり,チョウ,Con chim,鳥【とり】con chim,小鳥【ことり】chim nhỏ,白鳥【はくちょう】thiên nga,Ô con quạ đen biến thành con chim trắng,11,N5,,鳥
