word,kanji,meaning,jlptLevel,lesson_number
ちゅうしゃ[～する],注射[～する],tiêm,N4,46
ほうこ,宝庫,kho báu,N4,46
いまいいでしょうか,今いいでしょうか,bây giờ làm phiền anh/chị có được không?,N4,46
おまたせしました,お待たせしました,xin lỗi vì đã để anh/chị chờ lâu,N4,46
あんしょうばんごう,暗証番号,mật mã,N4,46
じゅんばん,順番,"thứ tự, lần lượt",N4,46
しんごう,信号,đèn tín hiệu,N4,46
よういする,用意する,Chuẩn bị sẵn,N4,46
ブランド,,Thương hiệu,N4,46
ついていない,,Không theo mong muốn,N4,46
ゆか,床,Sàn nhà,N4,46
あわてて,慌てて,Vội vàng,N4,46
[かぜが～] ふく,[風が～] 吹く,[gió ~] thổi,N4,47
[ごみが～] もえる,[ごみが～] 燃える,cháy [rác ~],N4,47
なくなる,亡くなる,qua đời (từ nói tránh của しにます),N4,47
あつまる,集まる,"tập trung, tập hợp lại",N4,47
おもいだす,思い出す,nhớ ra,N4,47
[ひとと～] わかれる,[人と～] 別れる,chia tay [với người...],N4,47
[おとが～] /[あじが～] / [においが～] する,[音が～] / [味が～],"có [tiếng, âm thanh], có [vị], có [mùi]",N4,47
きびしい,厳しい,nghiêm khắc,N4,47
ひどい,,"khủng khiếp, tồi tệ",N4,47
こわい,怖い,"sợ, đáng sợ",N4,47
じっけん,実験,"thực nghiệm, thí nghiệm",N4,47
データ,,dữ liệu,N4,47
じんこう,人口,dân số,N4,47
におい,匂い,mùi,N4,47
かがく,科学,khoa học,N4,47
いがく,医学,y học,N4,47
ぶんがく,文学,văn học,N4,47
パトカー,,xe tuần tra cảnh sát,N4,47
きゅうきゅうしゃ,救急車,xe cấp cứu,N4,47
さんせい,賛成,tán thành,N4,47
はんたい,反対,phản đối,N4,47
～によると,,theo ~ (biểu thị nguồn thông tin),N4,47
だんせい,男性,nam giới,N4,47
じょせい,女性,nữ giới,N4,47
ながいき,長生き,sống lâu,N4,47
けしょう[～する],化粧[～する],trang điểm,N4,47
みどり,緑,"màu xanh lá, cây xanh",N4,47
ぎおんまつり,祇園祭り,Lễ hội Gi-on,N4,47
おろす,降ろす、下ろす,"lấy xuống, hạ xuống",N4,48
とどける,届ける,"đưa đến, chuyển đến",N4,48
せわをする,世話をする,chăm sóc,N4,48
ろくおんする,録音する,ghi âm,N4,48
たのしむ,楽しむ,"mong chờ, vui vẻ, tận hưởng",N4,48
いや[な],嫌[な],không thích,N4,48
じゅく,塾,"lò luyện thi, nơi học thêm",N4,48
せいと,生徒,học sinh,N4,48
おや,親,cha mẹ,N4,48
りょうしん,両親,"cha mẹ, phụ huynh",N4,48
あかちゃん,赤ちゃん,em bé,N4,48
～せいき,～世紀,thế kỷ,N4,48
えいぎょう,営業,kinh doanh,N4,48
にゅうかん,入管,cục quản lý nhập cảnh,N4,48
スケジュール,,"thời khóa biểu, lịch làm việc",N4,48
スピード,,tốc độ,N4,48
それまでに,,cho đến lúc đấy,N4,48
とくに,特に,đặc biệt là,N4,48
～ばんせん,～番線,đường tàu số ~,N4,48
つごう,都合,thuận tiện,N4,48
まるい,丸い,tròn,N4,48
しゅうじ,習字,Luyện chữ,N4,48
りようする,利用する,sử dụng,N4,49
おくさま,奥様,vợ của người khác (kính ngữ của おくさん),N4,49
たまに,,thi thoảng,N4,49
どなたでも,,vị nào cũng (kính ngữ của だれでも),N4,49
すすむ,進む,Tiến lên/ Tiến triển,N4,49
マウス,,Chuột,N4,49
ノーベルしょう,ノーベル賞,Giải Nobel,N4,49
じゅしょう,受賞,Nhận giải,N4,49
まいる,参る,"đi, đến (khiêm nhường ngữ của いきます、きます)",N4,50
おる,,ở (khiêm nhường ngữ của います),N4,50
いただく,頂く,"ăn, uống, nhận (khiêm nhường ngữ của たべます、のみます、もらいます)",N4,50
もうす,申す,nói (khiêm nhường ngữ của いいます),N4,50
いたす,致す,làm (khiêm nhường ngữ của します),N4,50
はいけんする,拝見する,xem (khiêm nhường ngữ của みます),N4,50
ぞんじる,存じる,biết (khiêm nhường ngữ của しります),N4,50
うかがう,伺う,"hỏi, đến thăm (khiêm nhường ngữ của ききます、いきます)",N4,50
おめにかかる,お目にかかる,gặp (khiêm nhường ngữ của あいます),N4,50
[コーヒーを～] いれる,[コーヒーを～] 入れる,pha [cà phê],N4,50
よういする,用意する,chuẩn bị sẵn,N4,50
きんちょうする,緊張する,"căng thẳng, hồi hộp lo lắng",N4,50
おうえんする,応援する,"động viên, cổ vũ",N4,50
かんしゃする,感謝する,biết ơn,N4,50
さらいしゅう,再来週,tuần sau nữa,N4,50
さらいげつ,再来月,tháng sau nữa,N4,50
さらいねん,再来年,năm sau nữa,N4,50
